Assembly Accession	Assembly Name	Annotation Name	Annotation Release Date	Organism Name
GCA_022829085.1	ASM2282908v1			Abramis brama
GCA_900312575.1	ASM90031257v1			Acanthochaenus luetkenii
GCF_021347895.1	KAUST_Apoly_ChrSc	GCF_021347895.1-RS_2023_02	2023-02-27	Acanthochromis polyacanthus
GCF_904848185.1	fAcaLat1.1	NCBI Acanthopagrus latus Annotation Release 100	2020-10-30	Acanthopagrus latus
GCA_029814675.1	ASM2981467v1			Acanthurus coeruleus
GCA_029814705.1	ASM2981470v1			Acanthurus grammoptilus
GCA_029814765.1	ASM2981476v1			Acanthurus leucopareius
GCA_029814665.1	ASM2981466v1			Acanthurus lineatus
GCA_029814725.1	ASM2981472v1			Acanthurus nigricauda
GCA_029823135.1	ASM2982313v1			Acanthurus reversus
GCA_029783805.1	ASM2978380v1			Acanthurus tennentii
GCA_029783725.1	ASM2978372v1			Acanthurus tractus
GCA_034509495.1	ASM3450949v1			Acestrorhynchus altus
GCA_029874615.1	ASM2987461v1			Achondrostoma oligolepis
GCA_024762115.1	AG_genome			Acipenser gueldenstaedtii
GCA_030684275.1	Acipenser_oxyrinchus.AOXY1.1	Annotation submitted by Elena Santidrian, Ron DirksHeiner Kuhl, Jörn Gessner, Sven Wuertz, Matthias Stöck, Kang Du, Manfred Schartl,Christophe Klopp, Yann Guiguen, Cédric Cabau, Céline Lopez-Roques	2023-08-08	Acipenser oxyrinchus oxyrinchus
GCF_902713425.1	fAciRut3.2 maternal haplotype	GCF_902713425.1-RS_2023_08	2023-08-10	Acipenser ruthenus
GCA_020113195.1	MU_Atrans_1.0			Acipenser transmontanus
GCA_036784905.1	ASM3678490v1			Acrossocheilus fasciatus
GCA_029620275.1	ASM2962027v1			Acrossocheilus wenchowensis
GCA_916700685.1	A_latens_148487			Adelosebastes latens
GCA_036245035.1	ASM3624503v1			Adrianichthys oophorus
GCA_901007665.1	Aeoliscus_strigatus_assembly			Aeoliscus strigatus
GCA_003347165.1	ASM334716v1			Ageneiosus marmoratus
GCA_943590845.1	fAkaNud1			Akarotaxis nudiceps
GCA_019788955.1	BYU_Aglo_1.0	Annotation submitted by Brigham Young University	2021-08-27	Albula glossodonta
GCA_022829145.1	AGOR_1.0	Annotation submitted by GenoFish	2022-04-08	Albula goreensis
GCA_029874995.1	ASM2987499v1			Alburnus alburnus
GCA_029706075.1	AAFF_1.1	Annotation submitted by GenoFish	2023-04-12	Aldrovandia affinis
GCA_037576975.1	ASM3757697v1			Alestes dentex
GCA_037577075.1	ASM3757707v1			Alestopetersius hilgendorfi
GCA_903066825.1	HVK_AC_001			Alfaro cultratus
GCA_024542945.1	ASM2454294v1			allo-octoploid hybrid of Carassius auratus x Cyprinus carpio
GCF_017589495.1	AALO_Geno_1.1	NCBI Alosa alosa Annotation Release 100	2022-05-13	Alosa alosa
GCA_029875135.1	ASM2987513v1			Alosa fallax
GCF_018492685.1	fAloSap1.pri	NCBI Alosa sapidissima Annotation Release 100	2021-06-09	Alosa sapidissima
GCA_015052405.1	IOE3.scf			Altolamprologus calvus
GCA_015104655.1	ISC9.scf			Altolamprologus compressiceps
GCA_015104895.1	IRH2.scf			Altolamprologus sp. 'compressiceps shell' AB-2019
GCA_036025115.1	ASM3602511v1			Ambassis agassizii
GCA_036877625.1	ASM3687762v1			Ambastaia sidthimunki
GCA_027564755.1	ASM2756475v1			Amblyopsis hoosieri
GCA_025399935.1	ASM2539993v1			Amblyopsis rosae
GCA_027564775.1	ASM2756477v1			Amblyopsis spelaea
GCA_040091285.1	ASv1.0	Annotation submitted by University of St Andrews	2024-06-07	Ameca splendens
GCA_012411365.1	AMELA_1.0	Annotation submitted by GenoFish	2020-04-16	Ameiurus melas
GCA_036373705.1	fAmiCal2.hap1			Amia calva
GCA_027576215.1	ASM2757621v1			Amissidens hainesi
GCA_026122265.1	UConn_ADub_2022			Ammodytes dubius
GCA_949987685.1	fAmmMar1.1			Ammodytes marinus
GCA_028566735.1	ASM2856673v1			Ammoglanis amapaensis
GCA_037176925.1	ASM3717692v1			Amniataba percoides
GCA_013435755.1	ASM1343575v1			Amphilophus citrinellus
GCA_015108585.1	JWE1.scf			Amphilophus zaliosus
GCA_027123335.1	OIST_Acla_v1			Amphiprion clarkii
GCF_022539595.1	ASM2253959v1	GCF_022539595.1-RS_2023_03	2023-03-29	Amphiprion ocellaris
GCA_003047355.2	Nemo_v1.1			Amphiprion percula
GCA_003731715.1	BGI_Agra_1.0	Annotation submitted by BGI	2018-11-15	Anabarilius grahami
GCF_900324465.2	fAnaTes1.2	NCBI Anabas testudineus Annotation Release 101	2020-04-03	Anabas testudineus
GCA_900324465.3	fAnaTes1.3			Anabas testudineus
GCA_014839685.1	fAnaAna1.pri			Anableps anableps
GCA_032275365.1	ASM3227536v1			Anablepsoides cearensis
GCA_031762495.1	ASM3176249v1			Anablepsoides rubrolineatus
GCF_004355925.1	GSC_Weel_1.0	NCBI Anarrhichthys ocellatus Annotation Release 100	2019-12-12	Anarrhichthys ocellatus
GCA_036281575.1	ASM3628157v1			Ancherythroculter nigrocauda
GCA_025084515.1	ASM2508451v1			Ancistrus triradiatus
GCA_015108635.1	JWD7.scf			Andinoacara biseriatus
GCF_013347855.1	fAngAng1.pri	NCBI Anguilla anguilla Annotation Release 100	2020-07-01	Anguilla anguilla
GCA_039654925.2	AngPac_1			Anguilla bicolor pacifica
GCA_025169545.1	ASM2516954v1			Anguilla japonica
GCA_901111315.1	Anguilla_marmorata_assembly			Anguilla marmorata
GCA_901111305.1	Anguilla_megastoma_assembly			Anguilla megastoma
GCA_901111295.1	Anguilla_obscura_assembly			Anguilla obscura
GCF_018555375.3	ASM1855537v3	GCF_018555375.3-RS_2024_04	2024-04-03	Anguilla rostrata
GCA_900683385.1	Anoplogaster_cornuta_assembly			Anoplogaster cornuta
GCF_027596085.1	Afim_UVic_2022	GCF_027596085.1-RS_2023_03	2023-03-23	Anoplopoma fimbria
GCA_013358685.1	fAntMac1.pri			Antennarius maculatus
GCA_040054535.1	ASM4005453v1			Antennarius striatus
GCA_021346845.1	UniBe_ApeQuad_1.0			Apeltes quadracus
GCA_028564705.1	Aphanius_MNCN_1.0			Aphanius iberus
GCA_027564795.1	ASM2756479v1			Aphredoderus sayanus
GCA_006937985.1	MPIBA_Aaus_1.0			Aphyosemion australe
GCA_015052665.1	JWD9.scf			Apistogramma diplotaenia
GCA_017639675.1	fAplTae1.pri			Aplochiton taeniatus
GCA_037367295.1	ASM3736729v1			Apogon hyalosoma
GCA_037367365.1	ASM3736736v1			Apogon talboti
GCA_029814545.1	ASM2981454v1			Apogonichthyoides opercularis
GCA_900497675.1	Agigas_genome_assembly_all_mixed_samples			Arapaima gigas
GCF_007364275.1	fArcCen1	NCBI Archocentrus centrarchus Annotation Release 100	2019-09-03	Archocentrus centrarchus
GCA_900303235.1	ASM90030323v1			Arctogadus glacialis
GCA_951799395.1	fArgSil1.1			Argentina silus
GCA_015710095.1	ASM1571009v1			Argyrosomus japonicus
GCA_946959425.1	aregius_2022			Argyrosomus regius
GCA_026413345.1	ASM2641334v1			Ariopsis seemanni
GCA_025399975.1	ASM2539997v1			Arius gagora
GCA_027575915.1	ASM2757591v1			Arius madagascariensis
GCA_037974385.1	ASM3797438v1			Arnoldichthys spilopterus
GCA_016586285.1	aroFir_1.0			Arothron firmamentum
GCA_037176975.1	ASM3717697v1			Arrhamphus sclerolepis
GCA_028565295.1	ASM2856529v1			Aspidoras spilotus
GCA_023376895.1	ASM2337689v1			Aspiorhynchus laticeps
GCA_015109875.1	KAE8.scf			Astatoreochromis straeleni
GCF_900246225.1	fAstCal1.2	NCBI Astatotilapia calliptera Annotation Release 100	2018-08-31	Astatotilapia calliptera
GCA_900246225.5	fAstCal1.3			Astatotilapia calliptera
GCA_015112995.1	LJD2.scf			Astatotilapia flaviijosephi
GCA_015110235.1	JYD3.scf			Astatotilapia stappersii
GCF_023375975.1	AstMex3_surface	NCBI Astyanax mexicanus Annotation Release 103	2022-07-06	Astyanax mexicanus
GCA_036250305.1	USTA_Atow_v1.0	Annotation submitted by University of St Andrews	2024-01-29	Ataeniobius toweri
GCA_029874935.1	ASM2987493v1			Atherina boyeri
GCA_023101725.1	atherinomorus_stipes_v1			Atherinomorus stipes
GCA_037177055.1	ASM3717705v1			Atherinosoma microstoma
GCA_016984175.1	BGI_Aspa_1.0	Annotation submitted by BGI	2021-02-26	Atractosteus spatula
GCA_015102295.1	AUA9.scf			Aulonocranus dewindti
GCA_037954235.1	RoL_Achi_v1.0			Aulostomus chinensis
GCA_030220045.1	ASM3022004v1			Australoheros facetus
GCA_015108615.1	JWE2.scf			Australoheros scitulus
GCF_001266775.1	Austrofundulus_limnaeus-1.0	NCBI Austrofundulus limnaeus Annotation Release 100	2015-09-02	Austrofundulus limnaeus
GCA_038048925.1	CRG_Ach_1			Austrolebias charrua
GCA_031763805.1	ASM3176380v1			Austrolebias nigripinnis
GCA_005784505.1	ASM578450v1	Annotation submitted by Shenzhen Key Lab of Marine Genomics	2019-07-29	Bagarius yarrelli
GCA_028877455.1	ASM2887745v1			Bagre pinnimaculatus
GCA_028566695.1	ASM2856669v1			Bagroides melapterus
GCA_015107735.1	JAE9.scf			Baileychromis centropomoides
GCA_037178815.1	Ortbar1			Barbatula barbatula
GCA_936440315.1	fBarBab1.1			Barbus barbus
GCA_037974585.1	ASM3797458v1			Bathyaethiops greeni
GCA_015104405.1	ITH3.scf			Bathybates fasciatus
GCA_015111595.1	LCD6.scf			Bathybates ferox
GCA_015102795.1	ILG7.scf			Bathybates graueri
GCA_015107495.1	JDE4.scf			Bathybates hornii
GCA_015102875.1	ILF7.scf			Bathybates leo
GCA_015107595.1	JBG3.scf			Bathybates minor
GCA_015107455.1	JDE6.scf			Bathybates vittatus
GCA_943591095.1	fBatMar1			Bathydraco marri
GCA_900302375.1	ASM90030237v1			Bathygadus melanobranchus
GCA_025212315.1	ASM2521231v1			Batrachocephalus mino
GCA_019155185.1	ASM1915518v1			Beaufortia kweichowensis
GCA_015052645.1	JWE4.scf			Benitochromis conjunctus
GCA_015102815.1	ILF8.scf			Benthochromis horii
GCA_015102775.1	ILG3.scf			Benthochromis melanoides
GCA_015111075.1	LEF2.scf			Benthochromis sp. 'horii mahale' AB-2019
GCA_015111415.1	LDA7.scf			Benthochromis tricoti
GCA_900323375.1	ASM90032337v1			Benthosema glaciale
GCA_039105355.1	ASM3910535v1			Benthosema pterotum
GCA_900312565.1	ASM90031256v1			Beryx splendens
GCA_040207135.1	ASM4020713v1			Betta imbellis
GCF_900634795.4	fBetSpl5.4	GCF_900634795.4-RS_2023_04	2023-04-21	Betta splendens
GCA_037176995.1	ASM3717699v1			Bidyanus bidyanus
GCA_963422515.1	fBleOce1.1			Blennius ocellaris
GCF_026225935.1	ASM2622593v1	GCF_026225935.1-RS_2023_04	2023-04-12	Boleophthalmus pectinirostris
GCA_900302515.1	ASM90030251v1			Boreogadus saida
GCA_949987555.1	fBorAnt1.1			Borostomias antarcticus
GCA_020698575.1	ASM2069857v1			Bostrychus sinensis
GCA_036877575.1	ASM3687757v1			Botia almorhae
GCA_036877585.1	ASM3687758v1			Botia kubotai
GCA_015107555.1	JCF2.scf			Boulengerochromis microlepis
GCA_026770805.1	ASM2677080v1			Boulengeromyrus knoepffleri
GCA_943590825.1	fBovDia2			Bovichtus diacanthus
GCA_943593645.1	fBovVar2			Bovichtus variegatus
GCA_016785285.1	ASM1678528v1			Brachirus orientalis
GCA_020368025.1	ASM2036802v1			Brachyhypopomus occidentalis
GCA_029030835.1	ASM2903083v1			Brachyistius frenatus
GCA_030435695.1	ASM3043569v1			Brachymystax lenok tsinlingensis
GCA_037974465.1	ASM3797446v1			Brachypetersius altus
GCA_037577145.1	ASM3757714v1			Brachypetersius gabonensis
GCA_903066815.1	HVK_BR_001			Brachyrhaphis roseni
GCA_903067065.1	HVK_BT_001			Brachyrhaphis terrabensis
GCA_900302395.1	ASM90030239v1			Bregmaceros cantori
GCA_015164015.2	ASM1516401v2			Brevimyrus niger
GCF_023856365.1	BBRACH_0.4	NCBI Brienomyrus brachyistius Annotation Release 100	2022-06-30	Brienomyrus brachyistius
GCA_026770825.1	ASM2677082v1			Brienomyrus longianalis
GCA_900302425.1	ASM90030242v1			Brosme brosme
GCA_900303265.1	ASM90030326v1			Brotula barbata
GCA_027576235.1	ASM2757623v1			Brustiarius nox
GCA_025774045.1	ASM2577404v1			Brustiarius proximus
GCA_027575895.1	ASM2757589v1			Brustiarius solidus
GCA_037974445.1	ASM3797444v1			Brycinus macrolepidotus
GCA_037974405.1	ASM3797440v1			Brycinus nurse
GCA_037577275.1	ASM3757727v1			Bryconaethiops microstoma
GCA_015106715.1	JWD8.scf			Bujurquina vittata
GCA_016630915.1	ASM1663091v1			Callionymus lyra
GCA_015103395.1	BND5.scf			Callochromis macrops
GCA_015109845.1	KAF3.scf			Callochromis melanostigma
GCA_015110035.1	JZE4.scf			Callochromis pleurospilus
GCA_006937965.1	MPIBA_Ctod_1.0			Callopanchax toddi
GCA_910591475.1	Campylomormyrus.genome			Campylomormyrus compressirostris
GCA_025727615.1	ASM2572761v1			Campylomormyrus numenius
