Assembly Accession	Assembly Name	Annotation Name	Annotation Release Date	Organism Name
GCA_033576535.1	ASM3357653v1			Allobates femoralis
GCA_002915635.3	AmbMex60DD			Ambystoma mexicanum
GCA_035582685.1	ASM3558268v1			Amphiuma means
GCA_035582705.1	ASM3558270v1			Aneides aeneus
GCA_037953035.1	aLitCat1_p1.0			Aquarana catesbeiana
GCA_040206685.1	aAscTru1.hap1			Ascaphus truei
GCF_027579735.1	aBomBom1.pri	GCF_027579735.1-RS_2023_03	2023-03-03	Bombina bombina
GCA_905336975.1	Bvv_clc_v1			Bombina variegata variegata
GCF_905171765.1	aBufBuf1.1	NCBI Bufo bufo Annotation Release 100	2021-03-15	Bufo bufo
GCF_014858855.1	ASM1485885v1	NCBI Bufo gargarizans Annotation Release 100	2021-10-07	Bufo gargarizans
GCA_033119425.1	bufVir1			Bufotes viridis
GCA_963921515.1	aCalArn1			Calotriton arnoldi
GCA_039654945.1	ASM3965494v1			Dendrobates tinctorius
GCA_027789725.1	aDenEbr1.mat			Dendropsophus ebraccatus
GCA_030264455.1	ASM3026445v1			Desmognathus abditus
GCA_032275005.1	ASM3227500v1			Desmognathus adatsihi
GCA_030264635.1	ASM3026463v1			Desmognathus aeneus
GCA_032360725.1	ASM3236072v1			Desmognathus amphileucus
GCA_033119125.1	ASM3311912v1			Desmognathus anicetus
GCA_030264955.1	ASM3026495v1			Desmognathus apalachicolae
GCA_032274985.1	ASM3227498v1			Desmognathus aureatus
GCA_030264895.1	ASM3026489v1			Desmognathus auriculatus
GCA_034783875.1	ASM3478387v1			Desmognathus bairdi
GCA_032353675.1	ASM3235367v1			Desmognathus balsameus
GCA_033118305.1	ASM3311830v1			Desmognathus campi
GCA_031753635.1	ASM3175363v1			Desmognathus carolinensis
GCA_034783935.1	ASM3478393v1			Desmognathus catahoula
GCA_032353815.1	ASM3235381v1			Desmognathus cheaha
GCA_030264475.1	ASM3026447v1			Desmognathus conanti
GCA_030265015.1	ASM3026501v1			Desmognathus folkertsi
GCA_030265095.1	ASM3026509v1			Desmognathus fuscus
GCA_032353775.1	ASM3235377v1			Desmognathus gvnigeusgwotli
GCA_030264435.1	ASM3026443v1			Desmognathus imitator
GCA_032275315.1	ASM3227531v1			Desmognathus intermedius
GCA_032353855.1	ASM3235385v1			Desmognathus kanawha
GCA_035049765.1	ASM3504976v1			Desmognathus lycos
GCA_031753695.1	ASM3175369v1			Desmognathus marmoratus
GCA_032354855.1	ASM3235485v1			Desmognathus mavrokoilius
GCA_031753675.1	ASM3175367v1			Desmognathus monticola
GCA_030264935.1	ASM3026493v1			Desmognathus ochrophaeus
GCA_030264995.1	ASM3026499v1			Desmognathus ocoee
GCA_030264915.1	ASM3026491v1			Desmognathus orestes
GCA_030180145.1	ASM3018014v1			Desmognathus organi
GCA_030264975.1	ASM3026497v1			Desmognathus pascagoula
GCA_032275285.1	ASM3227528v1			Desmognathus perlapsus
GCA_032353935.1	ASM3235393v1			Desmognathus planiceps
GCA_031753655.1	ASM3175365v1			Desmognathus santeetlah
GCA_034782015.1	ASM3478201v1			Desmognathus tilleyi
GCA_030264875.1	ASM3026487v1			Desmognathus valentinei
GCA_032357565.1	ASM3235756v1			Desmognathus valtos
GCA_030264495.1	ASM3026449v1			Desmognathus welteri
GCA_030265035.1	ASM3026503v1			Desmognathus wrighti
GCA_027410445.1	aDisPic1.pri			Discoglossus pictus
GCA_035609135.1	aEleCoq1.hap2			Eleutherodactylus coqui
GCA_019512145.1	UCB_Epus_1.0	Annotation submitted by University of California, Berkeley	2021-08-10	Engystomops pustulosus
GCA_038406705.1	ASM3840670v1			Eurycea bislineata
GCA_035583035.1	ASM3558303v1			Eurycea cirrigera
GCA_035583075.1	ASM3558307v1			Eurycea guttolineata
GCA_035593885.1	ASM3559388v1			Eurycea paludicola
GCA_035047425.1	ASM3504742v1			Eurycea quadridigitata
GCA_027917425.1	aGasCar1.pri			Gastrophryne carolinensis
GCF_902459505.1	aGeoSer1.1	NCBI Geotrypetes seraphini Annotation Release 100	2020-04-22	Geotrypetes seraphini
GCA_902459505.2	aGeoSer1.2			Geotrypetes seraphini
GCA_018402905.1	Glandirana_rugosa_assembly_1.0			Glandirana rugosa
GCF_029499605.1	aHylSar1.hap1	GCF_029499605.1-RS_2023_05	2023-05-23	Hyla sarda
GCA_019447015.1	UCB_Hboe_1.0	Annotation submitted by University of California, Berkeley	2021-08-05	Hymenochirus boettgeri
GCA_033557465.1	NWPU_BC_v1			Ichthyophis bannanicus
GCA_018994145.1	ASM1899414v1			Leptobrachium ailaonicum
GCA_009667805.1	ASM966780v1			Leptobrachium leishanense
GCA_947044405.1	aLepFal1.1			Leptodactylus fallax
GCA_031893025.1	aLepFus1.hap1			Leptodactylus fuscus
GCA_011038615.1	BGI_Ldum_1.0			Limnodynastes dumerilii
GCA_037952925.1	aLitCla1_p1.0			Lithobates clamitans
GCA_037367395.1	aLitPip1_p1.0			Lithobates pipiens
GCA_037952835.1	aLitSep1_p1.0			Lithobates septentrionalis
GCA_028564925.1	aRanSyl1.merge			Lithobates sylvaticus
GCF_901765095.1	aMicUni1.1	NCBI Microcaecilia unicolor Annotation Release 100	2019-07-29	Microcaecilia unicolor
GCA_901765095.2	aMicUni1.2			Microcaecilia unicolor
GCA_036250195.1	aMixaus1.pri.20230704.fasta			Mixophyes australis
GCA_038048845.1	aMixFle1.hap1			Mixophyes fleayi
GCF_000935625.1	ASM93562v1	NCBI Nanorana parkeri Annotation Release 100	2016-09-27	Nanorana parkeri
GCA_035582915.1	ASM3558291v1			Necturus beyeri
GCA_009801035.1	UCB_Opum_1.0			Oophaga pumilio
GCA_033576555.1	ASM3357655v1			Oophaga sylvatica
GCA_933207985.1	aPelCul1.1_chrom	Annotation submitted by The Spanish National Research Council (CSIC)	2023-05-04	Pelobates cultripes
GCF_036172605.1	aPelFus1.pri	GCF_036172605.1-RS_2024_02	2024-02-23	Pelobates fuscus
GCA_036172795.1	aPelIbe1.pri			Pelodytes ibericus
GCA_022657655.1	ASM2265765v1			Phrynoglossus myanhessei
GCA_025379985.1	CIBIO_Pbah_1.0			Phyllomedusa bahiana
GCA_021901965.1	W530			Pipa carvalhoi
GCA_019650415.1	UCB_Ppar_1.0			Pipa parva
GCA_016617825.1	ASM1661782v1			Platyplectrum ornatum
GCA_035048385.1	ASM3504838v1			Plethodon glutinosus
GCA_035583015.1	ASM3558301v1			Plethodon ventralis
GCA_031143425.1	aPleWal1.hap1.20221129			Pleurodeles waltl
GCA_023970735.1	UNICAMP_Ptoc_Z_chromosome_1.0			Pseudis tocantins
GCA_035044885.1	ASM3504488v1			Pseudobranchus striatus
GCF_028390025.1	aPseCor3.hap2	GCF_028390025.1-RS_2024_02	2024-02-29	Pseudophryne corroboree
GCA_035593325.1	ASM3559332v1			Pseudotriton montanus
GCA_035583255.1	ASM3558325v1			Pseudotriton ruber
GCA_036250615.1	ASM3625061v1			Ptychadena robeensis
GCA_004786255.1	Pads_1.0			Pyxicephalus adspersus
GCA_029574335.1	ASM2957433v1			Rana kukunoris
GCA_029206835.1	Rmu.v1			Rana muscosa
GCF_905171775.1	aRanTem1.1	NCBI Rana temporaria Annotation Release 100	2021-03-15	Rana temporaria
GCA_032444005.1	aRanImi1.pri			Ranitomeya imitator
GCF_901001135.1	aRhiBiv1.1	NCBI Rhinatrema bivittatum Annotation Release 100	2019-06-18	Rhinatrema bivittatum
GCA_901001135.2	aRhiBiv1.2			Rhinatrema bivittatum
GCA_900303285.2	aRhiMar1.3			Rhinella marina
GCA_037306005.1	aRhiDor1.hap1			Rhinophrynus dorsalis
GCA_009364435.1	usc_Scouchii_0.1			Scaphiopus couchii
GCA_009364455.1	usc_Sholbrookii_0.1			Scaphiopus holbrookii
GCA_035582665.1	ASM3558266v1			Siren reticulata
GCA_035048675.1	ASM3504867v1			Siren sphagnicola
GCF_027358695.1	aSpeBom1.2.pri	GCF_027358695.1-RS_2023_03	2023-03-03	Spea bombifrons
GCA_029215755.1	aSpeHam1.0.hap2			Spea hammondii
GCA_009364415.1	usc_Smult_1.0			Spea multiplicata
GCA_951230385.1	Staurois_parvus_genomeassembly_1.0.embl	Annotation submitted by EAST CAROLINA UNIVERSITY	2023-05-07	Staurois parvus
GCA_035591995.1	ASM3559199v1			Stereochilus marginatus
GCA_031769625.1	aTauple2			Taudactylus pleione
GCA_024363595.1	UCB_Xborealis_1			Xenopus borealis
GCF_017654675.1	Xenopus_laevis_v10.1	NCBI Xenopus laevis Annotation Release 101	2021-04-26	Xenopus laevis
GCA_038501925.1	aXenPet1.paternal.cur			Xenopus petersii
GCF_000004195.4	UCB_Xtro_10.0	NCBI Xenopus tropicalis Annotation Release 104	2019-12-06	Xenopus tropicalis
