Assembly Accession	Assembly Name	Annotation Name	Annotation Release Date	Organism Name
GCA_034779955.1	ASM3477995v1			Acanthis cabaret
GCA_036873505.1	ASM3687350v1			Acanthis flammea
GCF_000695815.1	ASM69581v1	NCBI Acanthisitta chloris Annotation Release 100	2014-09-03	Acanthisitta chloris
GCA_036630365.1	ASM3663036v1			Acanthiza pusilla
GCA_036785705.1	bAcamag1.pri.20230524.fasta			Acanthornis magna
GCA_034782255.1	ASM3478225v1			Accipiter badius
GCA_027497695.1	ASM2749769v1			Accipiter castanilius
GCA_027479145.1	ASM2747914v1			Accipiter cirrocephalus
GCA_024222105.1	ASM2422210v1			Accipiter cooperii
GCA_027497835.1	ASM2749783v1			Accipiter erythropus
GCA_027475485.1	ASM2747548v1			Accipiter fasciatus
GCA_034782455.1	ASM3478245v1			Accipiter francesiae
GCF_929443795.1	bAccGen1.1	GCF_929443795.1-RS_2023_02	2023-02-26	Accipiter gentilis
GCA_929443795.2	bAccGen1.2			Accipiter gentilis
GCA_024363185.1	ASM2436318v1			Accipiter hiogaster
GCA_034781315.1	ASM3478131v1			Accipiter madagascariensis
GCA_027497775.1	ASM2749777v1			Accipiter melanochlamys
GCA_027479025.1	ASM2747902v1			Accipiter melanoleucus
GCA_032274405.1	ASM3227440v1			Accipiter meyerianus
GCA_034781495.1	ASM3478149v1			Accipiter minullus
GCA_027497715.1	ASM2749771v1			Accipiter nisus
GCA_027479285.1	ASM2747928v1			Accipiter novaehollandiae
GCA_034782535.1	ASM3478253v1			Accipiter rhodogaster
GCA_028567095.1	ASM2856709v1			Accipiter rufitorques
GCA_025308975.1	ASM2530897v1			Accipiter rufiventris
GCA_025727755.1	ASM2572775v1			Accipiter soloensis
GCA_027497855.1	ASM2749785v1			Accipiter striatus
GCA_027559655.1	ASM2755965v1			Accipiter superciliosus
GCA_038442595.1	ASM3844259v1			Accipiter tachiro
GCA_025728005.1	ASM2572800v1			Accipiter virgatus
GCA_002849675.1	ASM284967v1			Acridotheres javanicus
GCA_037013685.1	AcTris_vAus2.0			Acridotheres tristis
GCA_021534815.1	ASM2153481v1			Acrocephalus arundinaceus
GCA_022441285.1	AcrFamKingi1.0			Acrocephalus familiaris kingi
GCA_910950805.1	RW_assembly			Acrocephalus scirpaceus scirpaceus
GCA_035583155.1	ASM3558315v1			Acropternis orthonyx
GCA_024336885.1	ASM2433688v1			Actenoides hombroni
GCA_025331215.1	ASM2533121v1			Actenoides lindsayi
GCA_013389925.1	ASM1338992v1	Annotation submitted by B10K Consortium	2020-07-08	Aegithalos caudatus
GCA_039906565.1	bAegAlb1.hap1			Aegotheles albertisi
GCA_013398125.1	ASM1339812v1	Annotation submitted by B10K Consortium	2020-07-10	Aegotheles bennettii
GCA_025309335.1	ASM2530933v1			Aegypius monachus
GCA_036873685.1	ASM3687368v1			Agapornis canus
GCA_034782895.1	ASM3478289v1			Agapornis fischeri
GCA_035222285.1	ASM3522228v1			Agapornis lilianae
GCA_035041115.1	ASM3504111v1			Agapornis nigrigenis
GCA_034783155.1	ASM3478315v1			Agapornis personatus
GCA_034783915.1	ASM3478391v1			Agapornis pullarius
GCA_002631895.1	ASM263189v1			Agapornis roseicollis
GCA_034783435.1	ASM3478343v1			Agapornis swindernianus
GCA_034783195.1	ASM3478319v1			Agapornis taranta
GCF_020745825.1	Agelaius phoeniceus 1.1	GCF_020745825.1-RS_2023_03	2023-03-22	Agelaius phoeniceus
GCA_023055355.1	bAgeTri1.0.p			Agelaius tricolor
GCA_024635365.1	ASM2463536v1	Annotation submitted by Academia Sinica	2022-08-11	Aix galericulata
GCA_032270905.1	ASM3227090v1			Aix sponsa
GCA_902810485.1	skylark_genome			Alauda arvensis
GCA_013398995.1	ASM1339899v1	Annotation submitted by B10K Consortium	2020-07-10	Alaudala cheleensis
GCA_008658365.1	bAlcTor1 primary			Alca torda
GCA_033558465.1	ASM3355846v1			Alcedo atthis
GCA_033439865.1	ASM3343986v1			Alcedo quadribrachys
GCA_033439885.1	ASM3343988v1			Alcedo semitorquata
GCA_013397815.1	ASM1339781v1	Annotation submitted by B10K Consortium	2020-07-10	Aleadryas rufinucha
GCA_035666275.1	chu_hap1.0			Alectoris chukar
GCA_030625065.1	ASM3062506v1			Alectoris magna
GCA_038994595.1	ASM3899459v1			Alectoris rufa
GCA_013399715.1	ASM1339971v1	Annotation submitted by B10K Consortium	2020-07-10	Alectura lathami
GCA_024734035.1	ASM2473403v1			Alethe castanea
GCA_025584955.1	ASM2558495v1			Alethe diademata
GCA_027576755.1	ASM2757675v1			Alethe poliocephala
GCA_034768475.1	ASM3476847v1			Alipiopsitta xanthops
GCA_013399365.1	ASM1339936v1	Annotation submitted by B10K Consortium	2020-07-10	Alopecoenas beccarii
GCA_017639355.1	Aaes_hic			Amazona aestiva
GCA_032468075.1	ASM3246807v1			Amazona amazonica
GCA_032357765.1	ASM3235776v1			Amazona auropalliata
GCA_024331665.1	ASM2433166v1			Amazona autumnalis
GCA_003947215.1	ASM394721v1			Amazona collaria
GCA_032353435.1	ASM3235343v1			Amazona farinosa
GCA_031763565.1	ASM3176356v1			Amazona festiva
GCA_031763935.1	ASM3176393v1			Amazona finschi
GCA_013399615.1	ASM1339961v1	Annotation submitted by B10K Consortium	2020-07-10	Amazona guildingii
GCA_034782355.1	ASM3478235v1			Amazona kawalli
GCA_026283665.1	ASM2628366v1			Amazona leucocephala
GCA_032357305.1	ASM3235730v1			Amazona mercenarius
GCA_039720435.1	bAmaOch1.hap1			Amazona ochrocephala
GCA_031763625.1	ASM3176362v1			Amazona oratrix
GCA_031763605.1	ASM3176360v1			Amazona rhodocorytha
GCA_032360045.1	ASM3236004v1			Amazona ventralis
GCA_034782995.1	ASM3478299v1			Amazona versicolor
GCA_026283615.1	ASM2628361v1			Amazona vinacea
GCA_000332375.2	ASM33237v2			Amazona vittata
GCA_034782475.1	ASM3478247v1			Amazona xantholora
GCA_038381965.1	ASM3838196v1			Amazonetta brasiliensis
GCA_018881555.1	ASM1888155v1			Amblyornis subalaris
GCA_020466415.1	ASM2046641v1			Ammodramus savannarum pratensis
GCF_027887145.1	bAmmCau1.pri	GCF_027887145.1-RS_2023_08	2023-08-08	Ammospiza caudacuta
GCA_036010785.1	bAmmMar1.pri			Ammospiza maritima maritima
GCF_027579445.1	bAmmNel1.pri	GCF_027579445.1-RS_2023_09	2023-09-08	Ammospiza nelsoni
GCA_035583185.1	ASM3558318v1			Anabacerthia variegaticeps
GCA_963932015.1	bAnaAcu1.1			Anas acuta
GCA_038406075.1	ASM3840607v1			Anas aucklandica
GCA_038381715.1	ASM3838171v1			Anas bahamensis
GCA_032165215.1	ASM3216521v1			Anas bernieri
GCA_032357685.1	ASM3235768v1			Anas capensis
GCA_038406475.1	ASM3840647v1			Anas carolinensis
GCA_036873605.1	ASM3687360v1			Anas crecca
GCA_038406055.1	ASM3840605v1			Anas flavirostris
GCA_032275265.1	ASM3227526v1			Anas georgica
GCF_015476345.1	ZJU1.0	NCBI Anas platyrhynchos Annotation Release 104	2020-12-02	Anas platyrhynchos
GCA_002224875.1	ASM222487v1			Anas zonorhyncha
GCA_013396435.1	ASM1339643v1	Annotation submitted by B10K Consortium	2020-07-10	Anhinga anhinga
GCA_013400875.1	ASM1340087v1	Annotation submitted by B10K Consortium	2020-07-10	Anhinga rufa
GCA_035583115.1	ASM3558311v1			Anisognathus igniventris
GCA_039654605.1	ASM3965460v1			Anodorhynchus glaucus
GCA_009936445.2	ASM993644v2			Anodorhynchus hyacinthinus
