Authors,Article Title,Source Title,DOI,Publication Year,First Author Origin,Senior Author Origin,Sampled Focal Taxa Range,Sequencing Method,Study Focus,Comments
"Aguiar, Bruna I.; Freitas, Miguel L. M.; Zannato, Antonio S.; Tambarussi, Evandro V.; Moraes, Mario L. T.; Ambrosano, Marcelo N.; Pereira, Lya C. S. M.; Gandara, Flavio B.; Kageyama, Paulo Y.; Sebbenn, Alexandre M.",The effects of pollen dispersal and mating pattern on inbreeding depression and hybrid vigor in Balfourodendron riedelianum (Engl.) Engl. (Rutaceae),CONSERVATION GENETICS,10.1007/s10592-020-01250-0,2020,Global South,Global South,Global South,Microsatellites,Population Structure / Gene Flow / Diversity / Demographic History,
"Baker, Rowenna J.; Scott, Dawn M.; King, Peter J.; Overall, Andrew D. J.",Genetic structure of regional water vole populations and footprints of reintroductions: a case study from southeast England,CONSERVATION GENETICS,10.1007/s10592-020-01268-4,2020,Global North,Global North,Global North,Microsatellites,Population Structure / Gene Flow / Diversity / Demographic History,
"Bartonova, Alena Suchackova; Konvicka, Martin; Maresova, Jana; Kolev, Zdravko; Wahlberg, Niklas; Fric, Zdenek Faltynek",Recently lost connectivity in the Western Palaearctic steppes: the case of a scarce specialist butterfly,CONSERVATION GENETICS,10.1007/s10592-020-01271-9,2020,Global North,Global North,Global North,Sanger Sequencing,Population Structure / Gene Flow / Diversity / Demographic History,
"Blanco, Marina B.; Greene, Lydia K.; Rasambainarivo, Fidisoa; Toomey, Elizabeth; Williams, Rachel C.; Andrianandrasana, Lanto; Larsen, Peter A.; Yoder, Anne D.",Next-generation technologies applied to age-old challenges in Madagascar,CONSERVATION GENETICS,10.1007/s10592-020-01296-0,2020,Global North,Global North,Global South,Sanger Sequencing,Identification / Sexing / Taxonomy / Systematics,minION sequencing of cytB on site
"Borquez, Jessica; Valdovinos, Claudio; Brante, Antonio","Genetic structure and diversity in the freshwater gastropod Chilina dombeiana in the Biobio River, Chile",CONSERVATION GENETICS,10.1007/s10592-020-01308-z,2020,Global South,Global South,Global South,Microsatellites,Population Structure / Gene Flow / Diversity / Demographic History,
"Busch, Kathrin; Beazley, Lindsay; Kenchington, Ellen; Whoriskey, Frederick; Slaby, Beate M.; Hentschel, Ute",Microbial diversity of the glass spongeVazella pourtalesiiin response to anthropogenic activities,CONSERVATION GENETICS,10.1007/s10592-020-01305-2,2020,Global North,Global North,Global North,Sanger Sequencing,Identification / Sexing / Taxonomy / Systematics,
"Camila Latorre-Cardenas, Maria; Gutierrez-Rodriguez, Carla; Rico, Yessica","Estimating genetic and demographic parameters relevant for the conservation of the Neotropical otter,Lontra longicaudis,in Mexico",CONSERVATION GENETICS,10.1007/s10592-020-01283-5,2020,Global South,Global South,Global South,Microsatellites,Population Structure / Gene Flow / Diversity / Demographic History,
"Cao, Rui; Somaweera, Ruchira; Brittain, Katherine; FitzSimmons, Nancy N.; Georges, Arthur; Gongora, Jaime","Genetic structure and diversity of Australian freshwater crocodiles (Crocodylus johnstoni) from the Kimberley, Western Australia",CONSERVATION GENETICS,10.1007/s10592-020-01259-5,2020,Global North,Global North,Global North,Reduced Representation,Population Structure / Gene Flow / Diversity / Demographic History,
"Colombelli-Negrel, Diane; Slender, Amy; Bradford, Tessa; Bertozzi, Terry; Graf, Scarlett S.; Gardner, Michael G.",Subtle genetic clustering among South Australian colonies of little penguins (Eudyptula minor),CONSERVATION GENETICS,10.1007/s10592-020-01284-4,2020,Global North,Global North,Global North,Reduced Representation,Population Structure / Gene Flow / Diversity / Demographic History,
"Colston-Nepali, Lila; Provencher, Jennifer F.; Mallory, Mark L.; Franckowiak, Ryan P.; Sun, Zhengxin; Robertson, Gregory J.; Friesen, Vicki L.",Using genomic tools to inform management of the Atlantic northern fulmar,CONSERVATION GENETICS,10.1007/s10592-020-01309-y,2020,Global North,Global North,Global North,Reduced Representation,Population Structure / Gene Flow / Diversity / Demographic History,
"Cornetti, Luca; Tschirren, Barbara",Combining genome-wide association study and FST-based approaches to identify targets of Borrelia-mediated selection in natural rodent hosts,MOLECULAR ECOLOGY,10.1111/mec.15410,2020,Global North,Global North,Global North,Reduced Representation,Selection / GWAS / Runs of Homozygosity / Adaptive Potential / Gene Expression,
"Crotti, M.; Adams, C. E.; Etheridge, E. C.; Bean, C. W.; Gowans, A. R. D.; Knudsen, R.; Lyle, A. A.; Maitland, P. S.; Winfield, I. J.; Elmer, K. R.; Praebel, K.",Geographic hierarchical population genetic structuring in British European whitefish (Coregonus lavaretus) and its implications for conservation,CONSERVATION GENETICS,10.1007/s10592-020-01298-y,2020,Global North,Global North,Global North,Microsatellites,Population Structure / Gene Flow / Diversity / Demographic History,
"D'Urban Jackson, Josephine; Bruford, Michael W.; Szekely, Tamas; DaCosta, Jeffrey M.; Sorenson, Michael D.; Russo, Isa-Rita M.; Maher, Kathryn H.; Cruz-Lopez, Medardo; Galindo-Espinosa, Daniel; Palacios, Eduardo; De Sucre-Medrano, Atahualpa Eduardo; Cavitt, John; Pruner, Raya; Morales, Alcides L.; Gonzalez, Oscar; Burke, Terry; Kuepper, Clemens","Population differentiation and historical demography of the threatened snowy plover Charadrius nivosus (Cassin, 1858)",CONSERVATION GENETICS,10.1007/s10592-020-01256-8,2020,Global North,Global North,Both (Migratory),Reduced Representation,Population Structure / Gene Flow / Diversity / Demographic History,"Also mtDNA, microsatellites"
"de Sousa, Valderes Aparecida; Reeves, Patrick A.; Reilley, Ann; de Aguiar, Ananda Virginia; Stefenon, Valdir Marcos; Richards, Christopher M.",Genetic diversity and biogeographic determinants of population structure in Araucaria angustifolia (Bert.) O. Ktze,CONSERVATION GENETICS,10.1007/s10592-019-01242-9,2020,Global South,Global North,Global South,Other,Population Structure / Gene Flow / Diversity / Demographic History,SSRs
"Downey, Kala M.; Baskauf, Carol J.","Population genetics of a rare wetland species, the Tennessee yellow-eyed grass (Xyris tennesseensis, Xyridaceae)",CONSERVATION GENETICS,10.1007/s10592-020-01285-3,2020,Global North,Global North,Global North,Microsatellites,Population Structure / Gene Flow / Diversity / Demographic History,
"Drygala, Frank; Rode-Margono, Johanna; Semiadi, Gono; Wirdateti; Frantz, Alain C.",Evidence of hybridisation between the common Indonesian banded pig (Sus scrofa vitattus) and the endangered Java warty pig (Sus verrucosus),CONSERVATION GENETICS,10.1007/s10592-020-01304-3,2020,Global North,Global North,Global South,Microsatellites,Population Structure / Gene Flow / Diversity / Demographic History / Hybridix,Hybridization
"Dukai, Brenton von Takach; Peakall, Rod; Lindenmayer, David B.; Banks, Sam C.",The influence of fire and silvicultural practices on the landscape-scale genetic structure of an Australian foundation tree species,CONSERVATION GENETICS,10.1007/s10592-019-01245-6,2020,Global North,Global North,Global North,Reduced Representation,Population Structure / Gene Flow / Diversity / Demographic History,
"Dutcher, Kirsten E.; Vandergast, Amy G.; Esque, Todd C.; Mitelberg, Anna; Matocq, Marjorie D.; Heaton, Jill S.; Nussear, Ken E.",Genes in space: what Mojave desert tortoise genetics can tell us about landscape connectivity,CONSERVATION GENETICS,10.1007/s10592-020-01251-z,2020,Global North,Global North,Global North,Microsatellites,Population Structure / Gene Flow / Diversity / Demographic History,
"Edelhoff, Hendrik; Zachos, Frank E.; Fickel, Joerns; Epps, Clinton W.; Balkenhol, Niko",Genetic analysis of red deer (Cervus elaphus) administrative management units in a human-dominated landscape,CONSERVATION GENETICS,10.1007/s10592-020-01248-8,2020,Global North,Global North,Global North,Microsatellites,Population Structure / Gene Flow / Diversity / Demographic History,
"Escalante, Marco A.; Perrier, Charles; Garcia-De Leon, Francisco J.; Ruiz-Luna, Arturo; Ortega-Abboud, Enrique; Manel, Stephanie","Genotyping-by-sequencing reveals the effects of riverscape, climate and interspecific introgression on the genetic diversity and local adaptation of the endangered Mexican golden trout (Oncorhynchus chrysogaster)",CONSERVATION GENETICS,10.1007/s10592-020-01297-z,2020,Global North,Global North,Global South,Reduced Representation,Selection / GWAS / Runs of Homozygosity / Adaptive Potential / Gene Expression,First author also has affiliation w/ Mexican university; hybridization included in focus
"Ewedje, Eben-Ezer Baba Kayode; Jansen, Simon; Koffi, Guillaume Kouame; Staquet, Adrien; Pineiro, Rosalia; Essaba, Rodolphe Abessole; Obiang, Nestor Laurier Engone; Dainou, Kasso; Biwole, Achille Bernand; Doucet, Jean-Louis; Hardy, Olivier J.",Species delimitation in the African tree genus Lophira (Ochnaceae) reveals cryptic genetic variation,CONSERVATION GENETICS,10.1007/s10592-020-01265-7,2020,Global North,Global North,Global South,Microsatellites,Population Structure / Gene Flow / Diversity / Demographic History,First author also has Global South affiliation
"Finch, Kristen N.; Cronn, Richard C.; Ayala Richter, Marianella C.; Blanc-Jolivet, Celine; Correa Guerrero, Monica C.; De Stefano Beltran, Luis; Garcia-Davila, Carmen R.; Honorio Coronado, Euridice N.; Palacios-Ramos, Sonia; Paredes-Villanueva, Kathelyn; Andrew Jones, F.",Predicting the geographic origin of Spanish Cedar (Cedrela odorata L.) based on DNA variation,CONSERVATION GENETICS,10.1007/s10592-020-01282-6,2020,Global North,Global North,Global South,Reduced Representation,Identification / Sexing / Taxonomy / Systematics,
