Assembly Accession	Assembly Name	Annotation Name	Annotation Release Date	Organism Name
GCA_035048815.1	WUR_AEscu_1			Abelmoschus esculentus
GCF_003935025.1	Abrus_2018	NCBI Abrus precatorius Annotation Release 100	2018-12-18	Abrus precatorius
GCA_024086825.1	ASM2408682v1			Abrus pulchellus subsp. cantoniensis
GCA_019022655.1	ASM1902265v1			Acacia acuminata
GCA_037177275.1	ASM3717727v1			Acacia concinna
GCA_037074495.1	ASM3707449v1			Acacia confusa
GCA_034222035.1	Acra_USDA_v1	Annotation submitted by USDA-ARS PGEC	2023-12-08	Acacia crassicarpa
GCA_019022615.1	ASM1902261v1			Acacia melanoxylon
GCA_025563575.1	ASM2556357v1	Annotation submitted by Genomics for Australian Plants	2022-10-04	Acacia pycnantha
GCA_948193465.1	Ah-TARS4886-DRAFT-NextGenCassava-1.0			Acalypha hispida
GCA_019914995.1	ASM1991499v1			Acanthochlamys bracteata
GCA_954870605.1	drAceCamp1.1			Acer campestre
GCA_035582765.1	UCONN_Acne_2	Annotation submitted by University of Connecticut	2024-01-12	Acer negundo
GCA_030490815.1	UCONN_Acsa_1.0	Annotation submitted by University of Connecticut	2023-07-18	Acer saccharum
GCA_008009225.1	AYv1.1	Annotation submitted by Ori-Gene Co. Ltd.	2019-08-23	Acer yangbiense
GCA_030819835.1	drAcmStri1.0.hap2			Acmispon strigosus
GCA_030737845.1	ASM3073784v1	Annotation submitted by Fujian Agriculture and Forestry University	2023-08-16	Acorus calamus
GCA_030737835.1	ASM3073783v1	Annotation submitted by Fujian Agriculture and Forestry University	2023-08-16	Acorus gramineus
GCA_030159115.1	AAR_r2.2			Actinidia arguta var. hypoleuca
GCA_009663005.1	ASM966300v1			Actinidia chinensis
GCA_024454175.1	ASM2445417v1			Actinidia deliciosa
GCF_019202715.1	MaoHua_MHT	GCF_019202715.1-RS_2023_06	2023-06-23	Actinidia eriantha
GCA_030159135.1	APO_r1.1			Actinidia polygama
GCA_030159155.1	ARU_r1.0			Actinidia rufa
GCA_029448705.1	ASM2944870v1			Adansonia digitata
GCA_038382065.1	ASM3838206v1			Adansonia grandidieri
GCA_038382025.1	ASM3838202v1			Adansonia gregorii
GCA_038381835.1	ASM3838183v1			Adansonia madagascariensis
GCA_038381775.1	ASM3838177v1			Adansonia rubrostipa
GCA_026686845.1	LRSV_Adepav_v1			Adenanthera pavonina
GCA_022495995.1	ASM2249599v1			Adenophora triphylla var. japonica
GCA_025177825.1	AF01			Aechmea fasciata
GCA_021605145.1	ASM2160514v1			Aegilops bicornis
GCA_021605205.1	ASM2160520v1			Aegilops longissima
GCA_904067115.1	aegilops_sharonensis_1644_assembly			Aegilops sharonensis
GCA_021437245.1	ASM2143724v1			Aegilops speltoides
GCF_002575655.2	Aet v5.0	NCBI Aegilops tauschii Annotation Release 102	2021-11-17	Aegilops tauschii subsp. strangulata
GCA_032464435.1	ASM3246443v1			Aegilops umbellulata
GCA_030449875.1	ASM3044987v1			Aegle marmelos
GCA_013621005.1	IRD_Aeve_1.1			Aeschynomene evenia
GCA_000411095.1	VEGI_AA_v_1.0			Aethionema arabicum
GCA_030015575.1	ASM3001557v1			Agapanthus africanus
GCA_031470985.1	ASM3147098v1			Agastache rugosa
GCA_032274545.1	ASM3227454v1			Agave americana
GCA_035584285.1	ASM3558428v1			Agave angustifolia
GCA_032274185.1	ASM3227418v1			Agave fourcroydes
GCA_035584695.1	ASM3558469v1			Agave karwinskii
GCA_034783775.1	ASM3478377v1			Agave potatorum
GCA_038442645.1	ASM3844264v1			Agave tequilana
GCA_958450325.1	dcAgrGith1.1			Agrostemma githago
GCA_946807835.1	drAilAlti1.1			Ailanthus altissimus
GCA_958295605.1	daAjuCham1.1			Ajuga chamaepitys
GCA_032274785.1	ASM3227478v1			Ajuga reptans
GCA_017979445.1	ASM1797944v1			Akebia trifoliata
GCA_037074505.1	ASM3707450v1			Albizia julibrissin
GCA_948193065.1	Am-PI159043-DRAFT-NextGenCassava-1.0			Aleurites moluccanus
GCA_963693085.1	laAliPlan1.1			Alisma plantago-aquatica
GCA_020283515.1	Apet_EFCC3-3-20v4			Alliaria petiolata
GCA_030765085.1	ASM3076508v1			Allium cepa
GCA_030737815.1	ASM3073781v1			Allium fistulosum
GCA_030737875.1	ASM3073787v1			Allium sativum
GCA_037127165.1	AANG_UGA4			Alloteropsis angusta
GCA_004135705.1	ASEM_AUS1_V1.0			Alloteropsis semialata
GCF_958979055.1	dhAlnGlut1.1	GCF_958979055.1-RS_2024_01	2024-01-10	Alnus glutinosa
GCA_028654335.1	ASM2865433v1			Alnus rubra
GCA_028641055.1	Alomy_genome_v1			Alopecurus myosuroides
GCA_037177395.1	ASM3717739v1			Alpinia galanga
GCA_019425755.1	ASM1942575v1			Amaranthus cruentus
GCA_000753965.2	IBAB_Ahyp_2.0			Amaranthus hypochondriacus
GCA_019776075.1	ASM1977607v1			Amaranthus palmeri
GCF_026212465.1	ASM2621246v1	GCF_026212465.1-RS_2023_06	2023-06-23	Amaranthus tricolor
GCA_000180655.1	ASM18065v1			Amaranthus tuberculatus
GCA_032199755.1	A.artemisiifolia_dipasm_2023_h1_p			Ambrosia artemisiifolia
GCA_028751855.1	ASM2875185v1			Ambrosia trifida
GCA_030844895.1	AAC_Ahel_1.0.Atri_hap2			Ambrosia x helenae
GCA_039655645.1	Am_WGS_v1.0			Ammopiptanthus mongolicus
GCA_022559845.1	ASM2255984v1			Amorphophallus konjac
GCA_024336825.1	ASM2433682v1			Amorphophallus titanum
GCA_036346255.1	KIB_Aluo_1			Ampelocalamus luodianensis
GCA_024699675.1	UWA_Aant_1.0			Amphibolis antarctica
GCA_014843725.1	ASM1484372v1			Amphicarpaea edgeworthii
GCA_026122585.1	DCI_ANoc_v1			Anacardium occidentale
GCF_001540865.1	ASM154086v1	NCBI Ananas comosus Annotation Release 100	2017-02-13	Ananas comosus
GCA_900406275.1	ASM90040627v1			Anastatica hierochuntica
GCF_009805555.1	ASM980555v1	NCBI Andrographis paniculata Annotation Release 100	2022-10-20	Andrographis paniculata
GCA_003724115.2	FoenVul1.1			Anethum foeniculum
GCA_014182895.1	ASM1418289v1			Angophora floribunda
GCA_029783415.1	ASM2978341v1	Annotation submitted by Kunming Institute of Botany, Chinese Academy of Sciences	2023-04-18	Anisodus acutangulus
GCA_034509755.1	ASM3450975v1	Annotation submitted by Kunming Institute of Botany, Chinese Academy of Sciences	2023-12-26	Anisodus tanguticus
GCA_030490835.1	ASM3049083v1			Annona cherimola
GCA_035584095.1	ASM3558409v1			Annona squamosa
GCA_035233585.1	ASM3523358v1			Antiaris toxicaria
GCA_009905375.1	ASM990537v1	Annotation submitted by North China University of Science and Technology	2020-01-19	Apium graveolens
GCA_039877755.1	ASM3987775v1			Apocynum pictum
GCA_019593545.1	ASM1959354v1			Apocynum venetum
GCA_019297695.1	ASM1929769v1			Apostasia ramifera
GCA_002786265.1	ASM278626v1	Annotation submitted by Shenzhen Key Laboratory for Orchid Conservation and UtilizationThe National Orchid Conservation Center of China	2017-12-06	Apostasia shenzhenica
GCA_000696445.1	Aquilaria_agallocha_v1			Aquilaria agallochum
GCA_037177235.1	ASM3717723v1			Aquilaria malaccensis
GCA_005392925.1	SCBG_Asin_1.0			Aquilaria sinensis
GCA_039654915.1	ASM3965491v1			Aquilaria yunnanensis
GCA_002738505.1	Aquilegia_coerulea_v1	Annotation submitted by JGI-PGF	2017-11-01	Aquilegia coerulea
GCA_023053565.1	dmAquExim1.0.p			Aquilegia eximia
GCA_020826895.1	ASM2082689v1			Aquilegia kansuensis
GCA_905216605.1	AARE701a	Annotation submitted by MPI FOR DEVELOPMENTAL BIOLOGY	2021-02-13	Arabidopsis arenosa
GCA_900078215.1	Ahal2.2			Arabidopsis halleri subsp. gemmifera
GCF_000004255.2	v.1.0	NCBI Arabidopsis lyrata subsp. lyrata Annotation Release 101	2017-05-02	Arabidopsis lyrata subsp. lyrata
GCA_019202805.1	ASM1920280v1	Annotation submitted by Nanjing Agricultural University	2021-07-13	Arabidopsis suecica
GCF_000001735.4	TAIR10.1	Annotation submitted by TAIR and Araport	2022-10-20	Arabidopsis thaliana
GCA_019202795.1	ASM1920279v1	Annotation submitted by Nanjing Agricultural University	2021-07-13	Arabidopsis thaliana x Arabidopsis arenosa
GCA_900128785.1	MPIPZ.v5			Arabis alpina
GCA_964056655.1	ddAraHirs1.hap1.1			Arabis hirsuta
GCA_001484125.2	MPIPZ_Amontbretiana_3.1			Arabis montbretiana
GCA_902206195.3	Arabis nemorensis 1.0 pseudo-chromsomes annotated	Annotation submitted by UNIVERSITY OF COLOGNE	2019-08-15	Arabis nemorensis
GCF_000817695.3	aradu.V14167.gnm2.J7QH	GCF_000817695.3-RS_2023_02	2023-02-09	Arachis duranensis
GCF_003086295.2	arahy.Tifrunner.gnm1.KYV3	NCBI Arachis hypogaea Annotation Release 101	2019-04-29	Arachis hypogaea
GCA_003086295.3	arahy.Tifrunner.gnm2.J5K5			Arachis hypogaea
GCF_000816755.2	Araip1.1	NCBI Arachis ipaensis Annotation Release 101	2017-05-02	Arachis ipaensis
GCA_003063285.2	ASM306328v2			Arachis monticola
GCF_014773155.1	arast.V10309.gnm1.PFL2	GCF_014773155.1-RS_2023_06	2023-06-30	Arachis stenosperma
GCA_036897925.1	ASM3689792v1			Aragoa abietina
GCA_036897905.1	ASM3689790v1			Aragoa cleefii
GCA_034770075.1	ASM3477007v1			Aralia elata
GCA_014822125.1	UAlgCV_Aunedo_01			Arbutus unedo
GCA_023525745.1	ASM2352574v1	Annotation submitted by Agricultural Genomics Institute at Shenzhen, Chinese Academy of Agricultural Sciences	2022-05-24	Arctium lappa
GCA_954870635.1	daArcMinu1.1			Arctium minus
GCA_019985065.2	ddArcGlau1.1p			Arctostaphylos glauca
GCA_021397845.1	ASM2139784v1			Areca catechu
GCA_003260245.2	ASM326024v2			Argania spinosa
GCF_933775445.1	drPotAnse1.1	GCF_933775445.1-RS_2024_04	2024-04-02	Argentina anserina
GCA_029961685.1	dmAriCali1.0.hap1			Aristolochia californica
GCA_022405105.1	ASM2240510v1			Aristolochia contorta
GCA_019845555.1	ASM1984555v1	Annotation submitted by Institute of Botany, The Chinese Academy of Sciences	2021-09-02	Aristolochia fimbriata
GCA_008921755.1	MAQUI01			Aristotelia chilensis
GCA_025448175.1	ASM2544817v1			Aronia arbutifolia
GCA_014162995.1	Aran			Artemisia annua
GCA_030686995.1	ASM3068699v1			Artemisia argyi
GCA_034509245.1	ASM3450924v1			Artemisia ludoviciana
GCA_035048425.1	ASM3504842v1			Artemisia princeps
GCA_021014915.2	BSU_IDT2_0.1			Artemisia tridentata subsp. tridentata
GCA_002024485.1	Acamansi1.0			Artocarpus camansi
GCA_025403435.1	ASM2540343v1			Artocarpus heterophyllus
GCA_946598075.1	Wild Jack			Artocarpus hirsutus
GCA_025447715.1	ASM2544771v1			Asclepias incarnata
GCA_027405835.1	Asclepias_syriaca_v1.0_chromosomes			Asclepias syriaca
GCA_022839385.1	AKIK1p1_r1.0			Asparagus kiusianus
