Assembly Accession	Assembly Name	Annotation Name	Annotation Release Date	Organism Name
GCA_018237985.1	SRR10158560			Abisara bifasciata
GCA_905340225.1	ilAbrTrip1.1			Abrostola tripartita
GCA_946251915.1	ilAbrTril1.1			Abrostola triplasia
GCA_030710515.1	AcBM8_1.0			Abscondita cerata
GCA_034766995.1	ASM3476699v1			Acanthacorydalis orientalis
GCA_031841125.1	ASM3184112v1			Acanthococcus lagerstroemiae
GCA_963669975.1	AobtHiC_assembly	Annotation submitted by Evolutionary Biology Centre	2023-12-04	Acanthoscelides obtectus
GCA_930367205.1	ihAcaHaem1.1			Acanthosoma haemorrhoidale
GCA_943193645.1	ilAceEphe1.1			Acentria ephemerella
GCA_031308135.1	ado_dt_MfTpo_fix			Acheta domesticus
GCA_947623365.1	ilAchFlav2.1			Achlya flavicornis
GCF_030625045.1	CSIRO_AGI_Agris_v1	GCF_030625045.1-RS_2023_08	2023-08-24	Achroia grisella
GCA_948252455.1	ilAclCris2.1			Acleris cristana
GCA_927399475.2	ilAclEmar1.2			Acleris emargana
GCA_949316455.1	ilAclHolm1.1			Acleris holmiana
GCA_963966035.1	ilAclLate2.1			Acleris laterana
GCA_946894065.1	ilAclLite1.1			Acleris literana
GCA_923062465.1	ilAclSpar1.1			Acleris sparsana
GCA_035041075.1	ASM3504107v1			Acraspis erinacei
GCA_963555685.1	ilAcrCons1.1			Acrobasis consociella
GCA_963576875.1	ilAcrRepa1.1			Acrobasis repandana
GCA_943193695.1	ilAcrSuav1.1			Acrobasis suavella
GCA_947359355.1	idAcrOrbc1.1			Acrocera orbiculus
GCA_017607545.1	ASM1760754v1	Annotation submitted by BGI	2021-03-29	Acromyrmex charruanus
GCF_000204515.1	Aech_3.9	NCBI Acromyrmex echinatior Annotation Release 100	2015-01-08	Acromyrmex echinatior
GCA_017607565.1	ASM1760756v1	Annotation submitted by BGI	2021-03-29	Acromyrmex heyeri
GCA_017607455.1	ASM1760745v1	Annotation submitted by BGI	2021-03-29	Acromyrmex insinuator
GCA_910591435.1	ilAcrAcer1.1			Acronicta aceris
GCA_964056405.1	ilAcrAlni1.hap1.1			Acronicta alni
GCA_947256265.1	ilAcrLepo1.1			Acronicta leporina
GCA_946251955.1	ilAcrPsix1.1			Acronicta psi
GCA_039707435.1	ASM3970743v1			Actias luna
GCF_005508785.2	pea_aphid_22Mar2018_4r6ur_v2	NCBI Acyrthosiphon pisum Annotation Release 103	2021-05-24	Acyrthosiphon pisum
