Assembly Accession	Assembly Name	Annotation Name	Annotation Release Date	Organism Name
GCF_027475565.1	VMU_Ajub_asm_v1.0	GCF_027475565.1-RS_2023_04	2023-04-03	Acinonyx jubatus
GCA_029890205.1	ASM2989020v1			Acomys cahirinus
GCA_907164435.1	mAcoDim1_REL_1905			Acomys dimidiatus
GCA_907164505.1	mAcoKem2_REL_1905			Acomys kempi
GCA_907169655.1	mAcoPer2_REL_1905			Acomys percivali
GCF_903995435.1	mAcoRus1.1	GCF_903995435.1-RS_2023_02	2023-02-26	Acomys russatus
GCA_019593525.1	ASM1959352v1			Addax nasomaculatus
GCA_011751065.1	L.cinereus_Cryan_1219_p1.0			Aeorestes cinereus
GCA_006408695.1	IMP			Aepyceros melampus
GCF_002007445.2	ASM200744v3	NCBI Ailuropoda melanoleuca Annotation Release 103	2021-05-24	Ailuropoda melanoleuca
GCA_002007465.1	ASM200746v1			Ailurus styani
GCA_006408545.1	HBT			Alcelaphus buselaphus
GCA_015832495.2	NRM_Aalces_2_0.fsa			Alces alces
GCA_963919705.1	Aoec_v1			Alexandromys oeconomus
GCA_963574245.1	PGDP_AllNig			Allenopithecus nigroviridis
GCA_963574325.1	PGDP_AllLho			Allochrocebus lhoesti
GCA_963574925.1	PGDP_AllPre			Allochrocebus preussi
GCA_963575195.1	PGDP_AllSol			Allochrocebus solatus
GCA_963574145.1	PGDP_AloBel			Alouatta belzebul
GCA_963575295.1	PGDP_AloCar			Alouatta caraya
GCA_963575205.1	PGDP_AloDis			Alouatta discolor
GCA_963574365.1	PGDP_AloJua			Alouatta juara
GCA_963573945.1	PGDP_AloMac			Alouatta macconnelli
GCA_004027835.1	AloPal_v1_BIUU			Alouatta palliata
GCA_963574235.1	PGDP_AloPur			Alouatta seniculus puruensis
GCA_004027475.1	AnoCau_v1_BIUU			Anoura caudifer
GCF_016432865.1	AdamAnt_v2	GCF_016432865.1-RS_2023_02	2023-02-25	Antechinus flavipes
GCA_016696395.1	USYD_AStu_M			Antechinus stuartii
GCA_006408585.1	SGB			Antidorcas marsupialis
GCA_007570785.1	GSC_phorn_1.0			Antilocapra americana
GCA_027563665.1	DD_ASM_mAP_20210503			Antrozous pallidus
GCA_963573465.1	PGDP_AotAza			Aotus azarai
GCA_963574505.1	PGDP_AotGri			Aotus griseimembra
GCF_030222135.1	86718_ANA_hifiasm-v0.15.2.pri	GCF_030222135.1-RS_2024_04	2024-04-07	Aotus nancymaae
GCA_963574785.1	PGDP_AotTri			Aotus trivirgatus
GCA_963573775.1	PGDP_AotVoc			Aotus vociferans
GCA_004027875.1	AplRuf_v1_BIUU			Aplodontia rufa
GCA_964023405.1	mApoAgr2.1			Apodemus agrarius
GCA_002335545.1	Aspe_assembly01			Apodemus speciosus
GCF_947179515.1	mApoSyl1.1	GCF_947179515.1-RS_2023_02	2023-02-25	Apodemus sylvaticus
GCA_963573935.1	PGDP_ArcCal			Arctocebus calabarensis
GCA_900642305.1	arcGaz3			Arctocephalus gazella
GCA_028646355.1	Arctocephalus_townsendi_HiC			Arctocephalus townsendi
GCA_038363225.1	mArtInt1.hap2			Artibeus intermedius
GCF_021234435.1	CSHL_Jam_final	GCF_021234435.1-RS_2023_03	2023-03-03	Artibeus jamaicensis
GCA_038363175.2	mArtLit1.hap2			Artibeus lituratus
GCF_011762505.1	mArvNil1.pat.X	NCBI Arvicanthis niloticus Annotation Release 100	2020-05-13	Arvicanthis niloticus
GCF_903992535.2	mArvAmp1.2	NCBI Arvicola amphibius Annotation Release 101	2021-06-11	Arvicola amphibius
GCA_033961575.1	ASM3396157v1			Aselliscus stoliczkanus
GCA_963573605.1	PGDP_AteBel			Ateles belzebuth
GCA_963574935.1	PGDP_AteCha			Ateles chamek
GCA_036589455.1	ASM3658945v1			Ateles fusciceps
