Assembly Accession	Assembly Name	Annotation Name	Annotation Release Date	Organism Name
GCA_032468055.1	ASM3246805v1			Acrochordus granulatus
GCF_028640845.1	ASM2864084v1	GCF_028640845.1-RS_2023_07	2023-07-17	Ahaetulla prasina
GCA_040207615.1	KLS1140-ALA			Aipysurus laevis
GCA_022379055.1	ASM2237905v1			Anilios bituberculatus
GCA_029215795.1	rAnnSte1.0.hap2			Anniella stebbinsi
GCA_030556195.1	ASM3055619v1			Anolis apletophallus
GCF_035594765.1	rAnoCar3.1.pri	GCF_035594765.1-RS_2024_02	2024-02-01	Anolis carolinensis
GCF_025583915.1	AnoSag2.1	GCF_025583915.1-RS_2023_10	2023-10-30	Anolis sagrei ordinatus
GCA_032468035.1	ASM3246803v1			Aparallactus werneri
GCA_022577455.1	rAriEle1.0.p			Arizona elegans
GCA_014337955.1	AspMar1.0			Aspidoscelis marmoratus
GCA_023333525.1	rAspTig1.0.p			Aspidoscelis tigris stejnegeri
GCA_023970755.1	CU_Afeae_1.0			Azemiops feae
GCA_027560395.1	ASM2756039v1			Boaedon fuliginosus
GCA_034064705.1	ASM3406470v1			Bothrops alternatus
GCA_018340635.1	Ibu_BjarHA_1.0			Bothrops jararaca
GCA_035047305.1	BraPum1.0			Bradypodion pumilum
GCA_035047345.1	BraVen1.1			Bradypodion ventrale
GCA_023653725.1	ASM2365372v1			Bungarus multicinctus
GCA_032468135.1	ASM3246813v1			Calamaria suluensis
GCA_020711275.1	ASM2071127v1			Calotes versicolor
GCA_022412395.1	HLcalSin1			Calyptommatus sinebrachiatus
GCF_035149785.1	rCanAsp1.hap2	GCF_035149785.1-RS_2024_02	2024-02-15	Candoia aspera
GCA_032468195.1	ASM3246819v1			Cerberus rynchops
GCA_023362775.1	rChaBot1.0.p			Charina bottae
GCA_019457695.2	c.ornata.1			Chrysopelea ornata
GCA_038048745.1	rColCon1_p1.0			Coluber constrictor foxii
GCA_040207535.1	USC_Ccil_1.0			Correlophus ciliatus
GCA_039797435.1	Cadamanteus_3dDNAHiC_1.2	Annotation submitted by Florida State University	2024-05-24	Crotalus adamanteus
GCA_024509115.1	rCroOre1.0.p			Crotalus helleri
GCA_001625485.1	ASM162548v1			Crotalus horridus
GCA_000737285.1	CrotMitch1.0			Crotalus pyrrhus
GCF_016545835.1	ASM1654583v1	NCBI Crotalus tigris Annotation Release 100	2021-02-03	Crotalus tigris
GCA_003400415.2	UTA_CroVir_3.0			Crotalus viridis viridis
GCA_030015325.1	rCryege1_pri_20221122			Cryptoblepharus egeriae
GCA_948474755.1	CteBak_wtdbg2			Ctenosaura bakeri
GCA_030412105.1	rCycPin1.hap1			Cyclura pinguis
GCA_024449315.1	ASM2444931v1			Daboia siamensis
GCA_034641395.1	Dar_arm_1.0			Darevskia armeniaca
GCA_034641385.1	Dar_mix_1.0			Darevskia mixta
GCA_034642065.1	Dar_nair_1.0			Darevskia nairensis
